0,BE,MM,Depth,Pitch,Depth_rate,Depth_rate_mm,BE_rate,Depth_acc_mm,Depth_rate_mm_filtered,Depth_rate_filtered,Depth_acc_filtered,
141,592,28,1.878976,-1.875154,0.02607,26.07,1,1.851,18.68109803,18.68109803,0.228522741,
142,591,28,1.908117,-1.726119,0.029141,29.141,-1,3.071,18.99489509,18.99489509,0.313797059,
143,586,29,1.9408,-1.657441,0.032683,32.683,-5,3.542,19.40553824,19.40553824,0.410643147,
144,585,29,1.975445,-1.638932,0.034645,34.645,-1,1.962,19.86272209,19.86272209,0.457183853,
145,578,29,2.013674,-1.650859,0.038229,38.229,-7,3.584,20.41371043,20.41371043,0.550988337,
146,572,29,2.052429,-1.690237,0.038755,38.755,-6,0.526,20.96394911,20.96394911,0.550238687,
147,565,29,2.093307,-1.736034,0.040878,40.878,-7,2.123,21.56137064,21.56137064,0.597421527,
148,557,30,2.131675,-1.755173,0.038368,38.368,-8,-2.51,22.06556952,22.06556952,0.504198881,
149,552,30,2.165399,-1.636505,0.033724,33.724,-5,-4.644,22.41532243,22.41532243,0.349752914,
150,553,30,2.190344,-1.425154,0.024945,24.945,1,-8.779,22.49121276,22.49121276,0.075890327,
151,556,30,2.213253,-1.107655,0.022909,22.909,3,-2.036,22.50374638,22.50374638,0.012533617,
152,553,29,2.240615,-0.917994,0.027362,27.362,-3,4.453,22.64949399,22.64949399,0.145747609,
153,552,29,2.266409,-0.750939,0.025794,25.794,-1,-1.568,22.74382917,22.74382917,0.09433518,
154,547,29,2.291591,-0.551961,0.025182,25.182,-5,-0.612,22.81697429,22.81697429,0.073145125,
155,542,29,2.314125,-0.267054,0.022534,22.534,-5,-2.648,22.80848506,22.80848506,-0.008489229,
156,538,29,2.338687,-0.035798,0.024562,24.562,-4,2.028,22.86109051,22.86109051,0.052605448,
157,532,29,2.365006,0.156033,0.026319,26.319,-6,1.757,22.9648278,22.9648278,0.103737285,
158,526,29,2.388571,0.390577,0.023565,23.565,-6,-2.754,22.98283296,22.98283296,0.018005166,
159,520,29,2.412307,0.557249,0.023736,23.736,-6,0.171,23.00542797,23.00542797,0.022595011,
160,514,29,2.433698,0.745363,0.021391,21.391,-6,-2.345,22.95699513,22.95699513,-0.048432839,
161,509,29,2.455077,0.989366,0.021379,21.379,-5,-0.012,22.90965528,22.90965528,-0.047339854,
162,504,28,2.474872,1.205357,0.019795,19.795,-5,-1.584,22.81621562,22.81621562,-0.093439658,
163,501,28,2.491581,1.429069,0.016709,16.709,-3,-3.086,22.63299915,22.63299915,-0.183216469,
164,501,28,2.504833,1.762875,0.013252,13.252,0,-3.457,22.35156918,22.35156918,-0.281429975,
