Time,BE,MM,Depth_Rate,Pitch,mm_rate,be_rate
696.01758,52.5,-214,-3.068353588,-25.92784337,0,6
698.01745,52.5,-207,-1.534276755,-25.81427659,0,7
700.0181399,52.5,-199,-2.556079284,-25.61210295,0,8
702.0200399,52.5,-196,-4.087256924,-24.87333546,0,3
704.0176399,52.5,-195,-4.096051419,-24.04268608,0,1
706.0175201,52.5,-194,-6.137075597,-23.39742005,0,1
708.0175598,52.5,-187,-2.045527496,-23.17182748,0,7
710.01747,52.5,-179,-6.136983684,-23.12475728,0,8
712.01747,52.5,-173,-5.625315011,-22.60004886,0,6
714.0317599,52.5,-170,-2.031056263,-22.27303462,0,3
716.0177101,52.5,-169,-10.30020572,-21.44066828,0,1
718.0176499,52.5,-167,-5.625484225,-20.64455789,0,2
720.0175501,52.5,-163,-11.25119168,-20.15168747,0,4
722.0253699,52.5,-157,-1.018802499,-19.85985971,0,6
724.0181801,52.5,-151,-7.698554744,-19.68891074,0,6
726.0181701,52.5,-147,-6.136738596,-19.33813076,0,4
728.0176799,52.5,-142,-8.695804232,-18.97863958,0,5
730.0184399,52.5,-139,-11.75755472,-18.25810428,0,3
732.0178399,52.5,-138,-8.696281879,-17.50423441,0,1
734.0179699,52.5,-134,-9.715819407,-16.93295806,0,4
736.02211,52.5,-130,-8.675706415,-16.46687726,0,4
738.0177398,52.5,-127,-7.175164779,-15.83406215,0,3
740.01777,52.5,-124,-6.136622724,-15.0687835,0,3
742.02082,52.5,-119,-3.06368561,-14.70384078,0,5
744.0177597,52.5,-112,0,-14.82587104,0,7
746.0178199,52.5,-105,-3.579628081,-14.70553211,0,7
748.0181,52.5,-102,-1.022642699,-14.23677081,0,3
750.0180398,52.5,-99,-4.602675007,-13.69381568,0,3
752.0181299,52.5,-98,-4.602314296,-13.0627645,0,1
754.01795,52.5,-94,-3.068633834,-12.66448295,0,4
756.01791,52.5,-91,-6.136837952,-12.26267437,0,3
758.0181998,52.5,-86,-2.045260553,-11.87313135,0,5
760.0181199,52.5,-81,-7.159787247,-11.64283039,0,5
762.03139,52.5,-79,-7.11229627,-11.02691832,0,2
764.0181901,52.5,-77,-7.721843034,-10.426458,0,2
766.0181499,52.5,-73,-6.648241966,-10.02085759,0,4
768.0189901,52.5,-69,-10.73472745,-9.575524622,0,4
770.0181798,52.5,-66,-6.139187619,-9.127821228,0,3
772.0193498,52.5,-66,-8.177503703,-8.448640632,0,0
774.0261299,52.5,-64,0.509665145,-8.02124771,0,2
776.01826,52.5,-60,-3.593877578,-7.953982349,0,4
778.0186399,52.5,-56,-3.579085704,-7.684309297,0,4
780.01827,52.5,-52,-0.511472651,-7.623279645,0,4
782.0183501,52.5,-49,-2.556847416,-7.373552319,0,3
784.0183002,52.5,-46,1.022811431,-7.142717481,0,3
786.0227999,52.5,-43,-3.571729681,-6.99179368,0,3
788.0183199,52.5,-40,-3.075246258,-6.689735943,0,3
790.0262098,52.5,-40,-3.565669333,-6.243096036,0,0
792.0184699,52.5,-38,-1.540124158,-5.960388643,0,2
794.01843,52.5,-35,-8.693868668,-5.641129319,0,3
796.0210801,52.5,-33,-0.510701342,-5.382534472,0,2
798.01824,52.5,-30,-3.584826324,-5.177735855,0,3
800.0186301,52.5,-30,-8.691969706,-4.799212098,0,0
802.0239598,52.5,-29,-5.100337966,-4.239631117,0,1
804.01839,52.5,-29,-1.025642209,-3.91508767,0,0
806.0182999,52.5,-27,-6.648393012,-3.635231619,0,2
808.0184399,52.5,-29,0,-3.235911559,0,-2
810.01843,52.5,-25,-2.045582016,-3.439799378,0,4
812.0202898,52.5,-20,2.043671353,-3.689566853,0,5
814.01837,52.5,-18,0.511869379,-3.66167316,0,2
816.01842,52.5,-20,0.511395088,-3.34600727,0,-2
818.0194099,52.5,-20,-2.555714639,-2.946637239,0,0
820.0183398,52.5,-20,1.535015048,-2.994181315,0,0
822.0185902,52.5,-20,0,-3.28474741,0,0
824.0184899,52.5,-20,1.022837224,-3.490660767,0,0
826.0193098,52.5,-20,3.067070454,-3.675904671,0,0
828.01855,52.5,-20,-3.069494017,-3.59899788,0,0
830.0185198,52.5,-20,-2.557018277,-3.289177966,0,0
