0,BE,MM,Depth,Pitch,Depth_rate,Depth_rate_mm,BE_rate,Depth_acc_mm,Depth_rate_mm_filtered,Depth_acc_filtered,,
247,322,36,3.110611,6.443774,-0.002779,-2.779,-9,11.663,-3.083896006,0.009429773,,
248,315,36,3.114788,6.224802,0.004177,4.177,-7,6.956,-2.866069126,0.21782688,,
249,307,36,3.113136,5.944494,-0.001652,-1.652,-8,-5.829,-2.829647052,0.036422074,,
250,300,37,3.109069,5.581352,-0.004067,-4.067,-7,-2.415,-2.866767641,-0.037120588,,
251,292,37,3.10547,5.298605,-0.003599,-3.599,-8,0.468,-2.888734611,-0.021966971,,
252,285,37,3.110678,5.026091,0.005208,5.208,-7,8.807,-2.645832573,0.242902038,,
253,277,37,3.107075,4.796105,-0.003603,-3.603,-8,-8.811,-2.674547596,-0.028715023,,
254,277,37,3.090226,4.526815,-0.016849,-16.849,0,-13.246,-3.099781168,-0.425233572,,
255,270,38,3.093019,4.380787,0.002793,2.793,-7,19.642,-2.922997733,0.176783435,,
256,272,38,3.079717,4.292051,-0.013302,-13.302,2,-16.095,-3.234367801,-0.311370068,,
257,282,38,3.041197,4.266971,-0.03852,-38.52,10,-25.218,-4.292936767,-1.058568966,,
258,277,38,3.016155,4.321455,-0.025042,-25.042,-5,13.478,-4.915408664,-0.622471897,,
259,276,38,3.013425,4.464132,-0.00273,-2.73,-1,22.312,-4.849846404,0.06556226,,
260,284,39,2.980513,4.720931,-0.032912,-32.912,8,-30.182,-5.691711012,-0.841864608,,
261,290,39,2.911709,5.129137,-0.068804,-68.804,6,-35.892,-7.585079682,-1.89336867,,
262,297,39,2.867292,5.517327,-0.044417,-44.417,7,24.387,-8.690037291,-1.10495761,,
263,298,39,2.858889,5.957434,-0.008403,-8.403,1,36.014,-8.681426172,0.008611119,,
264,305,39,2.770283,6.618348,-0.088606,-88.606,7,-80.203,-11.07916339,-2.397737215,,
265,301,40,2.719328,7.193414,-0.050955,-50.955,-4,37.651,-12.27543849,-1.196275098,,
266,292,40,2.70863,7.755725,-0.010698,-10.698,-9,40.257,-12.22811533,0.047323155,,
267,305,40,2.656529,8.287293,-0.052101,-52.101,13,-41.403,-13.42430187,-1.19618654,,
268,312,40,2.561043,9.050931,-0.095486,-95.486,7,-43.385,-15.88615281,-2.461850944,,
269,297,40,2.55143,9.558608,-0.009613,-9.613,-15,85.873,-15.69795823,0.188194584,,
270,310,41,2.458227,10.310002,-0.093203,-93.203,13,-83.59,-18.02310948,-2.325151253,,
271,317,41,2.407401,10.830914,-0.050826,-50.826,7,42.377,-19.0071962,-0.984086715,,
272,302,41,2.398035,11.328281,-0.009366,-9.366,-15,41.46,-18.71796031,0.289235886,,
273,315,41,2.352502,11.782128,-0.045533,-45.533,13,-36.167,-19.5224115,-0.804451191,,
274,314,41,2.267506,12.36816,-0.084996,-84.996,-1,-39.463,-21.48661916,-1.964207655,,
275,315,42,2.222824,12.778337,-0.044682,-44.682,1,40.314,-22.18248058,-0.695861425,,
276,322,42,2.183702,13.159162,-0.039122,-39.122,7,5.56,-22.69066617,-0.508185582,,
277,307,42,2.177514,13.490562,-0.006188,-6.188,-15,32.934,-22.19558618,0.495079985,,
278,300,42,2.137468,13.814788,-0.040046,-40.046,-7,-33.858,-22.7310986,-0.535512415,,
279,312,41,2.067019,14.161109,-0.070449,-70.449,12,-30.403,-24.16263564,-1.431537042,,
280,309,41,2.029874,14.384016,-0.037145,-37.145,-3,33.304,-24.55210657,-0.389470931,,
281,308,41,2.0266,14.560209,-0.003274,-3.274,-1,33.871,-23.91376337,0.638343197,,
282,307,41,1.994093,14.69525,-0.032507,-32.507,-1,-29.233,-24.17156047,-0.257797099,,
283,297,41,1.963682,14.771279,-0.030411,-30.411,-10,2.096,-24.35874366,-0.187183186,,
284,310,41,1.905909,14.759059,-0.057773,-57.773,13,-27.362,-25.36117135,-1.00242769,,
