Time,BE,MM,depth_rate,Pitch,be_rate,mm_rate,pitch
694.0175798,52.5,-220,1.022687039,-26.20459267,0,3,-26.20459267
696.01758,52.5,-214,-3.068353588,-25.92784337,0,6,-25.92784337
698.01745,52.5,-207,-1.534276755,-25.81427659,0,7,-25.81427659
700.0181399,52.5,-199,-2.556079284,-25.61210295,0,8,-25.61210295
702.0200399,52.5,-196,-4.087256924,-24.87333546,0,3,-24.87333546
704.0176399,52.5,-195,-4.096051419,-24.04268608,0,1,-24.04268608
706.0175201,52.5,-194,-6.137075597,-23.39742005,0,1,-23.39742005
708.0175598,52.5,-187,-2.045527496,-23.17182748,0,7,-23.17182748
710.01747,52.5,-179,-6.136983684,-23.12475728,0,8,-23.12475728
712.01747,52.5,-173,-5.625315011,-22.60004886,0,6,-22.60004886
714.0317599,52.5,-170,-2.031056263,-22.27303462,0,3,-22.27303462
716.0177101,52.5,-169,-10.30020572,-21.44066828,0,1,-21.44066828
718.0176499,52.5,-167,-5.625484225,-20.64455789,0,2,-20.64455789
720.0175501,52.5,-163,-11.25119168,-20.15168747,0,4,-20.15168747
722.0253699,52.5,-157,-1.018802499,-19.85985971,0,6,-19.85985971
724.0181801,52.5,-151,-7.698554744,-19.68891074,0,6,-19.68891074
726.0181701,52.5,-147,-6.136738596,-19.33813076,0,4,-19.33813076
728.0176799,52.5,-142,-8.695804232,-18.97863958,0,5,-18.97863958
730.0184399,52.5,-139,-11.75755472,-18.25810428,0,3,-18.25810428
732.0178399,52.5,-138,-8.696281879,-17.50423441,0,1,-17.50423441
734.0179699,52.5,-134,-9.715819407,-16.93295806,0,4,-16.93295806
736.02211,52.5,-130,-8.675706415,-16.46687726,0,4,-16.46687726
738.0177398,52.5,-127,-7.175164779,-15.83406215,0,3,-15.83406215
740.01777,52.5,-124,-6.136622724,-15.0687835,0,3,-15.0687835
742.02082,52.5,-119,-3.06368561,-14.70384078,0,5,-14.70384078
744.0177597,52.5,-112,0,-14.82587104,0,7,-14.82587104
746.0178199,52.5,-105,-3.579628081,-14.70553211,0,7,-14.70553211
748.0181,52.5,-102,-1.022642699,-14.23677081,0,3,-14.23677081
750.0180398,52.5,-99,-4.602675007,-13.69381568,0,3,-13.69381568
752.0181299,52.5,-98,-4.602314296,-13.0627645,0,1,-13.0627645
754.01795,52.5,-94,-3.068633834,-12.66448295,0,4,-12.66448295
756.01791,52.5,-91,-6.136837952,-12.26267437,0,3,-12.26267437
758.0181998,52.5,-86,-2.045260553,-11.87313135,0,5,-11.87313135
760.0181199,52.5,-81,-7.159787247,-11.64283039,0,5,-11.64283039
762.03139,52.5,-79,-7.11229627,-11.02691832,0,2,-11.02691832
764.0181901,52.5,-77,-7.721843034,-10.426458,0,2,-10.426458
766.0181499,52.5,-73,-6.648241966,-10.02085759,0,4,-10.02085759
768.0189901,52.5,-69,-10.73472745,-9.575524622,0,4,-9.575524622
