Time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,be_rate,depth_rate,mm_rate,pitch
59,0.038799997,-0.0077,0.030299999,4.71999979,-3.279999971,239.1999969,3.532840748,0.045743842,3.974448628,-5.91715468,0.250164013,0.068274432,-6.886581681,107.6107488,-1,-0.306480049,5.640941216,3.297096104,21.09293175,3334,61.5,35.29999924,-2.67578125,0.039556666,155.1025071,156,0,0,0,297.5,-0.050034422,-15,45.743842,-4,-5.91715468
60,0.035400003,-0.0036,0.025,4.809999943,-2.49000001,236.5,3.551250238,0.036126889,3.945223228,-4.751909975,1.126627835,0.128220549,-6.886582425,107.6107489,-1,-0.339023843,5.626383737,3.340498051,21.08908081,3300,61.5,35.29999924,-2.3828125,0.035582583,149.0743519,150,0,0,0,280,-0.097623996,-17.5,36.126889,-6,-4.751909975
61,0.027799999,-0.0013,0.0178,4.590000153,-1.639999986,237.3999939,3.581933756,0.034448743,4.00508048,-3.489162275,1.885824,0.09439686,-6.886583318,107.6107491,-1,-0.360371121,5.565118529,3.388659778,21.07295036,3354,61.5,35.29999924,-2.1875,0.027830378,141.9131839,142,0,0,0,265,-0.146159291,-15,34.448743,-8,-3.489162275
62,0.0207,-0.0028,0.015600001,4.519999981,-0.49000001,233,3.599321861,0.034930199,4.098883053,-2.272648084,2.496820963,0.140603356,-6.886584351,107.6107495,-1,-0.372836003,5.524467392,3.460600289,21.10093117,3260,61.5,35.29999924,-2.08984375,0.020888514,134.216848,135,0,0,0,250,-0.157787904,-15,34.930199,-7,-2.272648084
63,0.0132,-0.0037,0.0138,4.96999979,0.800000012,234.3999939,3.618753214,0.031167634,4.123158753,-1.202174729,2.894981652,-0.080576109,-6.886585543,107.61075,-1,-0.350396639,5.423577828,3.55080084,21.08892059,3314,61.5,35.29999924,-2.08984375,0.013708756,128.9561019,129,0,0,0,235,-0.157276288,-15,31.167634,-6,-1.202174729
64,0.0051,-0.0045,0.0133,4.639999866,2.190000057,234.8000031,3.638186951,0.028041666,4.081656694,-0.336555301,3.043149782,-0.037280987,-6.886586828,107.6107506,-1,-0.325921115,5.369630306,3.531372796,21.09293175,3314,61.5,35.29999924,-2.87109375,0.00680147,125.2042074,126,0,0,0,220,-0.169321582,-15,28.041666,-3,-0.336555301
65,-0.0008,-0.0107,0.0144,4.909999847,2.960000038,233.5,3.657619734,0.026233941,4.118798882,0.279103628,2.968930966,0.044494192,-6.886588442,107.6107515,-1,-0.322439377,5.32496458,3.605033266,21.08497238,3334,61.29999924,35.20000076,-1.9921875,0.010729864,124.5494478,125,0,0,0,207.5,-0.158130452,-12.5,26.233941,-1,0.279103628
66,-0.0061,-0.0153,0.0153,4.699999809,3.49000001,225.8000031,3.668870468,0.021998253,4.178707814,0.668117925,2.766388095,-0.009905795,-6.886590154,107.6107524,-1,-0.353157719,5.316338322,3.648242787,21.10499001,3294,61.29999924,35.20000076,-2.87109375,0.016471187,126.053017,126,0,0,0,192.5,-0.140727505,-15,21.998253,1,0.668117925
67,-0.0099,-0.0207,0.0145,4.869999886,3.980000019,226.6999969,3.685234089,0.018874835,4.256810495,0.935190612,2.48685707,0.086187266,-6.886592053,107.6107535,-1,-0.298484367,5.312842747,3.694539803,21.10084152,3300,61.29999924,35.20000076,-2.48046875,0.022945588,128.2510975,128,0,0,0,177.5,-0.124765344,-15,18.874835,2,0.935190612
68,-0.016299998,-0.0198,0.0118,4.710000038,4.320000172,225.3999939,3.697508354,0.015080675,4.324212101,1.179069079,2.177463192,-0.001934942,-6.886594102,107.6107547,-1,-0.219997589,5.309016582,3.725464422,21.10890007,3266,61.40000153,35.29999924,-1.796875,0.025646246,130.1108681,130,0,0,0,160,-0.106907032,-17.5,15.080675,2,1.179069079
